city1,city2,distance
arad,zerind,75
arad,timisoara,118
arad,sibiu,140
zerind,oradea,71
zerind,arad,75
oradea,zerind,71
oradea,sibiu,151
sibiu,oradea,151
sibiu,arad,140
sibiu,ramnicu,80
sibiu,fagaras,99
timisoara,arad,118
timisoara,lugoj,111
lugoj,timisoara,111
lugoj,mehadia,70
mehadia,lugoj,70
mehadia,drobeta,75
drobeta,mehadia,75
drobeta,craiova,120
craiova,drobeta,120
craiova,ramnicu,146
craiova,pitesti,138
pitesti,craiova,138
pitesti,ramnicu,97
pitesti,bucharest,101
fagaras,sibiu,99
fagaras,bucharest,211
bucharest,fagaras,211
bucharest,giurgiu,90
giurgiu,bucharest,90
bucharest,urziceni,85
bucharest,pitesti,101
urziceni,bucharest,85
urziceni,hirsova,98
urziceni,vaslui,142
vaslui,urziceni,142
vaslui,iasi,92
iasi,vaslui,92
iasi,neamt,87
neamt,iasi,87
hirsova,urziceni,98
hirsova,eforie,86
eforie,hirsova,86
ramnicu,sibiu,80
ramnicu,pitesti,97
ramnicu,craiova,146